City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Pisco,PE,2020-01-03 05:12:21,-13.71,-76.2,69.8,83,90,13.87
195,Sairang,IN,2020-01-03 05:13:47,23.81,92.66,64.4,93,90,3.36
196,Meulaboh,ID,2020-01-03 05:13:47,4.14,96.13,81.99,74,29,3.65
197,Maceio,BR,2020-01-03 05:13:47,-9.67,-35.74,75.2,94,100,2.24
198,Guider,CM,2020-01-03 05:13:47,9.93,13.94,57.33,37,47,7.38
199,Lagoa,PT,2020-01-03 05:13:08,37.14,-8.45,57.99,82,75,6.93
200,Hamilton,CA,2020-01-03 05:10:48,43.26,-79.87,46.99,75,90,11.41
201,Kurilsk,RU,2020-01-03 05:13:47,45.23,147.88,24.17,79,68,7.7
202,Alice Springs,AU,2020-01-03 05:12:37,-23.7,133.88,105.8,12,48,6.93
203,Kavaratti,IN,2020-01-03 05:12:44,10.57,72.64,86.0,70,40,4.7
204,Birjand,IR,2020-01-03 05:13:48,32.86,59.22,41.0,44,2,9.17
205,Lebu,ET,2020-01-03 05:08:23,8.96,38.73,55.4,76,75,2.24
206,Beloha,MG,2020-01-03 05:13:48,-25.17,45.06,85.57,55,35,8.46
207,Haines Junction,CA,2020-01-03 05:09:42,60.75,-137.51,-7.56,100,97,3.38
208,Lianran,CN,2020-01-03 05:13:48,24.92,102.47,66.0,48,92,17.9
209,Wencheng,CN,2020-01-03 05:13:49,27.79,120.09,58.77,73,65,0.4
210,Walvis Bay,NA,2020-01-03 05:13:49,-22.95,14.51,61.0,92,15,3.0
211,Axim,GH,2020-01-03 05:12:32,4.87,-2.24,71.31,62,65,3.76
212,Sola,TZ,2020-01-03 05:12:59,-3.17,33.8,70.66,71,82,13.49
213,Palora,EC,2020-01-03 05:13:49,-1.7,-77.97,64.29,96,94,2.93
214,Norrtalje,SE,2020-01-03 05:13:49,59.76,18.7,44.6,75,90,25.28
215,Abu Samrah,SY,2020-01-03 05:13:50,35.3,37.18,48.63,81,100,5.28
216,Awbari,LY,2020-01-03 05:13:50,26.59,12.77,40.12,79,0,3.98
217,Mayumba,GA,2020-01-03 05:13:50,-3.44,10.65,81.19,83,100,8.08
218,Montgomery,US,2020-01-03 05:13:50,32.37,-86.3,73.4,88,1,12.75
219,Vuktyl,RU,2020-01-03 05:13:50,63.86,57.31,11.8,93,100,15.05
220,Kailua,US,2020-01-03 05:13:51,21.39,-157.74,75.2,69,20,16.11
221,Nikolskoye,RU,2020-01-03 05:12:26,59.7,30.79,39.2,80,90,8.95
222,Portland,US,2020-01-03 05:11:48,43.66,-70.25,42.01,64,90,4.7
223,Baker City,US,2020-01-03 05:13:51,44.77,-117.83,36.0,86,90,6.93
224,Upington,ZA,2020-01-03 05:13:51,-28.46,21.24,73.4,40,0,5.82
225,Nhulunbuy,AU,2020-01-03 05:13:51,-12.18,136.78,93.2,49,100,14.99
226,Pacific Grove,US,2020-01-03 05:13:52,36.62,-121.92,54.0,71,1,6.93
227,Labuhan,ID,2020-01-03 05:13:52,-2.54,115.51,87.19,66,67,3.0
228,Vanavara,RU,2020-01-03 05:13:52,60.35,102.28,13.95,96,98,4.43
229,Gallup,US,2020-01-03 05:10:42,35.53,-108.74,21.2,85,1,2.24
230,Jalu,LY,2020-01-03 05:13:52,29.03,21.55,44.38,85,0,6.49
